OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,dr8_id,err_r,petroR50_r,petroR50Err_r
587727225156141259,00:26:46.21,-10:57:38.8,29,0.0,0.862,0.034,0.069,0.034,0.0,0.966,0.0,0.966,1,0,0,267384_3393,0.010995,3.430839,0.06666
587727177915498593,00:27:07.24,-11:04:51.7,25,0.76,0.04,0.0,0.12,0.08,0.0,0.16,0.553,0.342,0,0,1,267384_864,0.005575695,2.277052,0.026864
587727177915564103,00:27:32.37,-11:03:32.9,60,0.583,0.017,0.083,0.15,0.167,0.0,0.25,0.518,0.311,0,0,1,267385_1257,0.005376083,1.40119,0.010798
587727177915564104,00:27:32.72,-11:07:10.4,30,0.933,0.0,0.033,0.033,0.0,0.0,0.067,0.799,0.201,0,0,1,267385_22,0.007491336,2.481234,0.048256
587727225156403328,00:29:20.61,-11:00:35.4,21,0.524,0.238,0.048,0.143,0.048,0.0,0.429,0.095,0.822,1,0,0,267386_2154,0.010623,2.17497,0.041988
587727225156337824,00:28:50.36,-10:58:03.6,31,0.677,0.129,0.032,0.065,0.065,0.032,0.226,0.28,0.544,0,0,1,267386_2840,0.010764,2.628555,0.05087
587727225156403374,00:29:04.46,-10:57:36.6,30,0.5,0.067,0.067,0.167,0.133,0.067,0.3,0.228,0.5,0,0,1,267386_3051,0.012332,2.664063,0.04919
587727177915826302,00:30:07.31,-11:06:49.1,33,0.03,0.909,0.0,0.03,0.0,0.03,0.939,0.03,0.939,1,0,0,267387_53,0.001766163,12.605386,0.070405
587727177915891842,00:30:40.34,-11:06:31.1,32,0.562,0.0,0.0,0.406,0.031,0.0,0.406,0.113,0.83,1,0,0,267388_334,0.011837,2.052475,0.042846
587727225156599902,00:30:51.98,-10:53:54.5,28,0.036,0.0,0.607,0.286,0.036,0.036,0.893,0.008,0.919,1,0,0,267388_4433,0.007988203,3.148954,0.035782
587727177916088450,00:32:22.54,-11:06:57.0,35,0.514,0.0,0.029,0.4,0.057,0.0,0.429,0.341,0.595,0,0,1,267389_174,0.007540385,1.785945,0.018868
587727177916088439,00:32:14.47,-11:06:52.9,34,0.941,0.0,0.0,0.0,0.059,0.0,0.0,0.941,0.0,0,1,0,267389_225,0.004977606,1.763375,0.014859
587727225156731017,00:32:23.74,-10:56:48.9,27,0.815,0.0,0.037,0.111,0.037,0.0,0.148,0.626,0.327,0,0,1,267389_3184,0.008469543,1.425056,0.020602
587727225156731008,00:32:20.31,-10:55:52.2,35,0.343,0.0,0.029,0.629,0.0,0.0,0.657,0.084,0.916,1,0,0,267389_3518,0.007975322,1.561715,0.025146
587727225156796515,00:32:38.25,-11:01:57.3,62,0.839,0.0,0.0,0.081,0.081,0.0,0.081,0.728,0.178,0,0,1,267390_1549,0.00768602,1.481789,0.022017
587727225156796533,00:32:45.61,-10:54:29.9,33,0.758,0.0,0.03,0.121,0.091,0.0,0.152,0.626,0.271,0,0,1,267390_3679,0.007417403,1.24826,0.017151
587727225156796536,00:32:48.50,-10:53:07.9,31,0.387,0.0,0.0,0.581,0.032,0.0,0.581,0.295,0.672,0,0,1,267390_4043,0.006907835,1.271336,0.057147
587727177916219495,00:33:39.49,-11:03:52.0,59,0.593,0.102,0.017,0.203,0.085,0.0,0.322,0.23,0.635,0,0,1,267391_1095,0.011611,3.478735,0.07129
587727225156862048,00:33:34.02,-10:52:59.5,38,0.579,0.026,0.0,0.263,0.132,0.0,0.289,0.187,0.589,0,0,1,267391_4294,0.008553336,2.016755,0.027261
587727177916350529,00:34:41.34,-11:03:51.7,29,0.241,0.276,0.0,0.483,0.0,0.0,0.759,0.111,0.889,1,0,0,267392_1337,0.004913483,3.670859,0.031628
587727177916416114,00:35:33.64,-11:03:16.8,29,0.862,0.0,0.0,0.069,0.069,0.0,0.069,0.846,0.085,0,1,0,267392_1494,0.008641813,2.556939,0.064899
587727177916481604,00:36:10.07,-11:04:13.6,49,0.551,0.0,0.0,0.082,0.245,0.122,0.082,0.478,0.127,0,0,1,267393_1039,0.007187452,1.590128,0.212495
587727225157124201,00:35:58.89,-10:57:50.7,28,0.964,0.0,0.0,0.0,0.0,0.036,0.0,0.964,0.0,0,1,0,267393_3155,0.00539252,1.318017,0.012824
587727225157124199,00:35:56.99,-10:57:20.5,27,0.704,0.0,0.0,0.222,0.074,0.0,0.222,0.557,0.36,0,0,1,267393_3329,0.007919562,1.381791,0.013768
587727225157124149,00:35:59.88,-10:56:00.0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,267393_3679,0.002575635,3.6293,0.035202
587727177916612621,00:37:12.91,-11:03:39.0,23,0.217,0.0,0.0,0.739,0.043,0.0,0.739,0.045,0.904,1,0,0,267394_1213,0.007651949,3.031354,0.042918
587727177916547182,00:36:39.53,-11:01:57.0,38,0.342,0.105,0.263,0.237,0.053,0.0,0.605,0.128,0.808,1,0,0,267394_1662,0.005235691,3.171822,0.019525
587727225157451865,00:38:54.39,-10:52:50.0,73,0.767,0.027,0.014,0.082,0.11,0.0,0.123,0.543,0.301,0,0,1,267396_4551,0.010021,1.569039,0.028236
