Unnamed: 0,OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,dr8_id
6634,587727178464624742,02:20:19.17,-09:25:26.5,55,0.0,0.945,0.018,0.0,0.0,0.036,0.964,0.0,0.964,1,0,0,276004_4864
6648,587727178464821254,02:22:07.09,-09:24:03.2,31,0.0,0.968,0.0,0.032,0.0,0.0,1.0,0.0,1.0,1,0,0,276006_6304
6701,587727177929195636,02:34:12.43,-09:27:25.1,67,0.0,0.985,0.015,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,276018_4508
6730,587730815748669598,22:03:41.92,-09:24:41.0,27,0.0,0.963,0.0,0.037,0.0,0.0,1.0,0.0,1.0,1,0,0,277173_4034
6773,587730815749390462,22:10:07.71,-09:37:11.5,27,0.111,0.815,0.037,0.0,0.037,0.0,0.852,0.096,0.867,1,0,0,277179_125
6782,587726877271457997,22:09:50.59,-09:24:38.6,38,0.0,0.974,0.026,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,277179_4267
6793,587726877271654599,22:11:53.81,-09:30:04.7,23,0.0,0.957,0.0,0.0,0.043,0.0,0.957,0.0,0.957,1,0,0,277181_2659
6818,587726877272047797,22:15:12.31,-09:34:25.5,20,0.0,0.95,0.0,0.05,0.0,0.0,1.0,0.0,1.0,1,0,0,277184_852
6940,587726877811540144,22:39:37.59,-09:31:58.3,25,0.0,0.96,0.0,0.0,0.0,0.04,0.96,0.0,0.96,1,0,0,277208_1979
7004,587726878350180512,22:56:26.91,-09:30:39.3,25,0.04,0.96,0.0,0.0,0.0,0.0,0.96,0.008,0.992,1,0,0,277225_2144
7028,587726878350508239,22:59:20.70,-09:29:00.5,46,0.109,0.826,0.0,0.065,0.0,0.0,0.891,0.019,0.981,1,0,0,277228_2707
7030,587726878350573662,22:59:45.85,-09:25:17.9,29,0.069,0.862,0.069,0.0,0.0,0.0,0.931,0.026,0.974,1,0,0,277228_3992
7035,587726878350508249,22:59:22.67,-09:34:16.1,58,0.0,0.948,0.034,0.017,0.0,0.0,1.0,0.0,1.0,1,0,0,277228_953
7110,587730817366950103,23:15:05.94,-09:35:16.7,23,0.043,0.913,0.0,0.0,0.043,0.0,0.913,0.028,0.929,1,0,0,277243_591
7166,587727875305504774,23:27:14.80,-09:23:13.2,36,0.0,0.917,0.0,0.0,0.0,0.083,0.917,0.0,0.917,1,0,0,277255_4841
7222,587727180057673879,23:37:36.32,-09:24:33.6,30,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,277265_4178
7248,587727875307077647,23:41:54.41,-09:27:09.5,29,0.0,0.966,0.0,0.0,0.034,0.0,0.966,0.0,0.966,1,0,0,277270_2639
7305,587727226763346092,23:55:21.69,-09:36:23.7,26,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,277283_281
7316,587727180059639934,23:55:58.57,-09:30:29.7,58,0.052,0.845,0.0,0.086,0.0,0.017,0.931,0.02,0.963,1,0,0,277284_2239
7374,587727227302117516,00:13:01.55,-09:11:50.9,33,0.061,0.848,0.0,0.03,0.03,0.03,0.879,0.015,0.922,1,0,0,277300_3824
7393,587727227302903934,00:20:09.29,-09:14:40.5,40,0.025,0.925,0.025,0.025,0.0,0.0,0.975,0.006,0.994,1,0,0,277307_2286
7465,587727180063834204,00:35:02.91,-09:22:06.3,49,0.02,0.878,0.041,0.061,0.0,0.0,0.98,0.02,0.98,1,0,0,277322_54
7482,587727227304804420,00:37:33.68,-09:13:08.3,22,0.0,0.955,0.0,0.045,0.0,0.0,1.0,0.0,1.0,1,0,0,277325_3092
7490,587727227304935542,00:38:36.47,-09:11:45.0,21,0.0,0.952,0.0,0.0,0.0,0.048,0.952,0.0,0.952,1,0,0,277326_3810
7621,587727227306246237,00:50:49.67,-09:08:49.7,24,0.042,0.875,0.042,0.042,0.0,0.0,0.958,0.042,0.958,1,0,0,277338_4872
7691,587727227307294770,01:00:45.83,-09:11:08.5,26,0.0,0.962,0.0,0.0,0.0,0.038,0.962,0.0,0.962,1,0,0,277348_3965
7767,587727226772390006,01:19:03.72,-09:16:30.4,36,0.0,0.889,0.0,0.083,0.0,0.028,0.972,0.0,0.972,1,0,0,277366_1702
7776,587727226772652131,01:21:28.65,-09:19:33.2,33,0.03,0.939,0.0,0.0,0.03,0.0,0.939,0.007,0.962,1,0,0,277368_872
